city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"West Jakarta city, Indonesia",Warkop Omid,"Jl. Swadaya Ujung No.9 4, RT.4/RW.17",4.1,19.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP AMEL TANJUNG DUREN,"Gg. Gege RT. 007 / RW. 02 No. 7, RT.4/RW.2",4.0,2.0,1,1,1,1,0,1,1
"West Jakarta city, Indonesia",Warkop Pahri Aje,"Jl. Sawo No.15 5, RT.5/RW.1",4.4,7.0,1,1,0,1,1,1,1
"West Jakarta city, Indonesia",Warkop Mang Unyil,"No., Jl. H. Mading No.75, RT.6/RW.2",5.0,7.0,1,1,1,1,1,0,1
"West Jakarta city, Indonesia",Warkop Neng Susy,"North Jakarta City, Jakarta, Indonesia",5.0,4.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP OS,"Jl. Kedoya Duri No.19 1, RT.1/RW.4",5.0,2.0,1,1,1,0,1,1,0
"West Jakarta city, Indonesia",Warkop Dua Masa,"Jl. Tanjung Duren Raya No.55, RT.2/RW.5",5.0,1.0,1,0,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop DARSAN,"RPCX+99J, Jl. Puri Kembangan, RT.12/RW.3",4.2,20.0,1,1,1,1,0,1,1
"West Jakarta city, Indonesia",Warkop PJS,"IXno31., Jl. Tawakal Raya, RT.8/RW.9",4.1,8.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Arema,"Jl. Tj. Duren Bar. 2 No.10 6, RT.6/RW.4",5.0,1.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop CS,"Jl. Bhakti VIII No.6-4 1, RT.1/RW.9",5.0,9.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP aa,"Jl. Kota Bambu Sel. 6 No.1 8, RT.6/RW.5",5.0,3.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP pak.min,"North Jakarta City, Jakarta, Indonesia",5.0,1.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Sahabat,"Jl. H. Domang No.80, RT.9/RW.9",5.0,2.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Adinda,"Jl. Puri Indah Raya No.1, RT.1/RW.2",3.7,3.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP PRAU,"Jl. Tawakal XI No.24, RT.8/RW.9",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Girl Boss,"No.12A, Jl. Kyai H. Taisir No.11, RW.4",3.8,10.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Iwan Camp Jawa,"Gg. III No.14 No.2-7, RT.14/RW.9",5.0,5.0,1,1,1,1,0,1,1
"West Jakarta city, Indonesia",Warkop Naik Kelas,"Jl. Komp. Graha Indah Green Ville Blok Bg No.20, RT.11/RW.14",4.6,46.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop durian kahirupan,"Jl. H. Junaidi No.7, RT.4/RW.1",,,1,1,0,1,1,0,1
"West Jakarta city, Indonesia",WARKOP CINTA RASA,"Jl. Anggrek Neli Murni No.8 Blok C, RT.10/RW.1",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Orange Cafe,"DKI Jakarta, Jakarta, Indonesia",5.0,1.0,1,1,1,1,1,0,1
"West Jakarta city, Indonesia",Warkop Becak,"Jl. Kemanggisan Ilir III No.1, RT.8/RW.1",5.0,3.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Oz BC,"Jl. Kembang Kerep No.58, RT.5/RW.2",4.5,6.0,1,1,1,1,1,1,0
"West Jakarta city, Indonesia",Warkop Suasana,"Jl. Jelambar Barat IIA No.31 5, RT.4/RW.11",5.0,19.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop 810,"Jl. Kh.Syahdan Gg. Keluarga No.36 6, RT.6/RW.12",5.0,3.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP ANGKRINGAN BERSAMA,"Jl. Salam 1 No.37 8, RT.8/RW.6",5.0,4.0,1,1,1,1,0,0,1
"West Jakarta city, Indonesia",Warkop Mikita,"Jakarta, Indonesia",4.9,31.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP RB 38,"Jl. Mawar No.48B 003, RT.6/RW.8",5.0,4.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Liris,"Jl. Flamboyan No.13, RT.13/RW.5",4.8,22.0,1,1,1,0,1,0,1
"West Jakarta city, Indonesia",T-J Warkop,"Jl. Meruya Utara,, RT.5/RW.1, RT.5/RW.1",4.5,18.0,0,0,1,0,1,1,1
"West Jakarta city, Indonesia",Warkop Sumedang (kang Asep),"Jalan Manunggal Rt 05 Rw 01 Nomor 23, Meruya Selatan, Kembangan, RT.5",4.0,15.0,1,1,1,1,1,0,1
"West Jakarta city, Indonesia",Warkop Pinky,Jl. Zakaria II No.Rt 004/003,,,1,1,1,1,1,0,1
"West Jakarta city, Indonesia",Warkop Ibrahim,"Jl. Mangga Besar IX No.10 4, RT.5/RW.5",4.2,24.0,1,1,0,1,0,0,1
"West Jakarta city, Indonesia",Warkop Bambu 2,"Jl. Srengseng Raya No.121 4, RT.4/RW.6",,,0,1,0,1,1,1,1
"West Jakarta city, Indonesia",Warkop Tanah Abang 54,"Central Jakarta City, Jakarta, Indonesia",5.0,1.0,1,1,1,1,1,1,0
"West Jakarta city, Indonesia",Warkop kuningan pak yana,"Jalan outer ringroad lkr.luar, Tegal alur, RT.10/RW.12, Kalideres, RT.10/RW.12",4.2,13.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Atas,"South Jakarta City, Jakarta, Indonesia",4.1,78.0,1,1,1,0,1,1,1
"West Jakarta city, Indonesia",Warkop Adinda,"Jl. Puri Indah Raya No.1, RT.1/RW.2",3.7,3.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Lapak,"Jl. Pengairan Pesing Koneng No.33 10, RT.10/RW.8",,,0,1,1,0,1,1,1
"West Jakarta city, Indonesia",Warkop 810,"Jl. Kh.Syahdan Gg. Keluarga No.36 6, RT.6/RW.12",5.0,3.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Tiga Kawan,"Jl. C No.47 3, RT.3/RW.1",5.0,2.0,1,1,1,0,1,1,1
"West Jakarta city, Indonesia",Warkop Naik Kelas Lucky Day's,"Jl. Raya Duri Kosambi No.30 1, RT.1/RW.7",5.0,1.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP SEPAKAT,"Ruko Rich Palace, Jl. Meruya Ilir Raya No.36-40 Block B.2, RT.1/RW.5",5.0,2.0,1,1,1,0,1,1,1
"West Jakarta city, Indonesia",warkop emen,"Jl. Kp. Salo No.33 2, RT.2/RW.4",,,0,1,1,0,1,1,0
"West Jakarta city, Indonesia",Warkop GK,"RQP8+C57, Jl. Kedoya Raya Pesing Koneng, RT.1/RW.1",,,1,1,1,1,1,0,1
"West Jakarta city, Indonesia",Warkop Gaul 24 Slipi,"Jl. Kemanggisan Utama Raya No.3, RT.3/RW.2",4.0,3.0,1,1,0,1,0,1,1
"West Jakarta city, Indonesia",Warkop Exotic 01,"Jl. Pulo Harapan Indah No.86, RT.12/RW.10",5.0,2.0,1,1,1,1,0,1,0
"West Jakarta city, Indonesia",CAFE WARKOP WIFI CORNER,"Jl. Semangka II No.10, RT.10/RW.6",3.6,12.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop SAMBAS,"10, Jl. Krendang Sel. Gang Q No.10, RT.5/RW.8",5.0,10.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop BC,"RQQC+8GV, Stasiun Pesing",,,1,1,1,1,1,0,1
"West Jakarta city, Indonesia",Warkop.In,"9, Jl. Raya Swadana No.107, RT.9/RW.1",5.0,3.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP BETAWI,Dine-in,,,1,1,1,1,1,1,0
"West Jakarta city, Indonesia",Warkop durian kahirupan,"Jl. H. Junaidi No.7, RT.4/RW.1",,,1,1,1,0,1,1,0
"West Jakarta city, Indonesia",Warkop WILDOM,"Jl. H. Domang No.40A 9, RT.9/RW.2",4.8,8.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Purwanty,Indonesia,5.0,4.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Iwan Camp Jawa,"Gg. III No.14 No.2-7, RT.14/RW.9",5.0,5.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop BE-Wan,"Jl. Kb. Jahe, RT.15/RW.3",5.0,2.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Deprok,"Jl. H. Kelik No.38, RT.1/RW.6",5.0,7.0,1,1,1,1,1,0,1
"West Jakarta city, Indonesia",WARKOP ANGKRINGAN BERSAMA,"Jl. Salam 1 No.37 8, RT.8/RW.6",5.0,4.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Pua’Kale’,"South Jakarta City, Jakarta, Indonesia",4.6,586.0,1,1,1,0,1,1,1
"West Jakarta city, Indonesia",Warkop Tanah Abang 54,"Central Jakarta City, Jakarta, Indonesia",5.0,1.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Hegar,"Jl. Anggrek Rosliana No.8f 5, RT.6/RW.2",4.8,4.0,1,1,1,1,0,1,1
"West Jakarta city, Indonesia",Warkop Arbo,"Jl. Jelambar Selatan II No.39 1, RT.1/RW.2",4.7,3.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",ST Fish Warkop,"Jl. Ukir 1 No.7 3, RT.3/RW.6",5.0,1.0,1,1,0,1,1,1,1
"West Jakarta city, Indonesia",Warkop Srengsen,"Jl. Srengseng Raya No.77, RT.6/RW.6",5.0,1.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Emak,"Jl. KS Tubun III Blok F No.1-24, RT.13/RW.6",5.0,2.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Bambu 2,"Jl. Srengseng Raya No.121 4, RT.4/RW.6",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP PRAU,"Jl. Tawakal XI No.24, RT.8/RW.9",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop,"Jalan Srengseng Raya Rt 01 Rw 03, Srengseng, Kembangan, RT.3/RW.3",3.8,4.0,1,1,0,1,1,1,1
"West Jakarta city, Indonesia",Warkop,"RQ4J+9RM, Batusari I, RT.11/RW.5",4.5,2.0,1,1,0,1,1,1,1
"West Jakarta city, Indonesia","GG Rental PS3, PS4 & Warkop GG","Jl. Anggrek Cendrawasih VIII A Kebon sayur No.55a, RT.7/RW.3",5.0,1.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Sejahtara,"South Tangerang City, Banten, Indonesia",4.5,156.0,1,1,1,1,0,1,1
"West Jakarta city, Indonesia",Warkop bang gopam,"South Jakarta City, Jakarta, Indonesia",5.0,1.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop BC KBBP,"Jl. Pejagalan I No.73a, RT.14/RW.5",4.6,8.0,1,1,0,1,1,0,1
"West Jakarta city, Indonesia",Warkop AWI,"Central Jakarta City, Jakarta, Indonesia",5.0,9.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP DANY BONDAN,"Jl. Daan Mogot 21 No.76, RT.1/RW.2",4.4,5.0,1,1,1,0,1,1,1
"West Jakarta city, Indonesia",Warkop Samping Jalan,"14, Jl. Bojong Raya No.122, RT.14",,,1,0,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Heroy,"Central Jakarta City, Jakarta, Indonesia",4.5,551.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Sin Nung Kebot,"Jl. Sulaiman No.27 2, RT.3/RW.4",5.0,5.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",ST Fish Warkop,"Jl. Ukir 1 No.7 3, RT.3/RW.6",5.0,1.0,1,0,1,0,0,1,0
"West Jakarta city, Indonesia",Warkop mumuh kapuk kebon jahe rt20,"Jl. Kapuk Kb. Jahe No.20, RT.20/RW.3",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP DANY BONDAN,"Jl. Daan Mogot 21 No.76, RT.1/RW.2",4.4,5.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia","GG Rental PS3, PS4 & Warkop GG","Jl. Anggrek Cendrawasih VIII A Kebon sayur No.55a, RT.7/RW.3",5.0,1.0,1,1,0,1,1,1,1
"West Jakarta city, Indonesia",Warkop Jagung Bulek,"RQ2C+WF5, RT.3/RW.2",5.0,1.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop AA,"South Jakarta City, Jakarta, Indonesia",4.6,159.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Atas,"South Jakarta City, Jakarta, Indonesia",4.1,78.0,1,0,1,0,1,1,0
"West Jakarta city, Indonesia",Warkop gak waraz,"Jl. Kedoya Raya No.55, RT.7/RW.7",4.0,1.0,1,1,1,0,1,1,0
"West Jakarta city, Indonesia",Warkop & Sate Taichan A1,"Jakarta, Indonesia",4.6,21.0,1,1,1,1,1,1,0
"West Jakarta city, Indonesia",Warkop Pua’Kale’,"South Jakarta City, Jakarta, Indonesia",4.6,586.0,1,1,1,1,1,0,0
"West Jakarta city, Indonesia",Warkop Sejahtara,"South Tangerang City, Banten, Indonesia",4.5,156.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP ADAN,"Jl. Kedoya Raya No.4 3, RT.3/RW.1",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Kazoku,"Banten, Indonesia",4.4,30.0,1,1,1,0,1,0,1
"West Jakarta city, Indonesia",WARKOP BANG KUMIS,"Gg. H. Paih No.6, RT.6/RW.2",5.0,3.0,1,0,1,1,0,1,1
"West Jakarta city, Indonesia",Warkop Jaelansky,"South Tangerang City, Banten, Indonesia",4.8,250.0,1,1,1,1,1,1,0
"West Jakarta city, Indonesia",Warkop Mamang Anwar,"Central Jakarta City, Jakarta, Indonesia",4.9,7.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP HOBI4D,"Blok S, Jl. Mangga 17 No.383, RT.1/RW.12",,,1,0,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Sesuka,Indonesia,,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Mantul,"Jl. Meruya Selatan No.88 4, RT.4/RW.7",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Mang Udin,"QQX9+R4P Kb, Jl. C No.3, RT.3/RW.1",,,1,1,1,0,1,1,0
"West Jakarta city, Indonesia",warkop mas ian,"Jl. Tawakal X No.5, RT.5/RW.9",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop-in Ajah Pekayon,"West Java, Indonesia",5.0,22.0,1,1,0,1,1,1,1
"West Jakarta city, Indonesia",Warkop 5B,"Jl. Berdikari No.13 3, RT.3/RW.9",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Sunday Warkop,Jl. U No.33,5.0,4.0,1,1,0,1,0,0,1
"West Jakarta city, Indonesia",Warkop aliando,"Jl. Nurul Amal Raya No.2A 1, RT.1/RW.3",,,0,1,0,1,1,1,1
"West Jakarta city, Indonesia",Kedai Sendawa - Modern Warkop Tanjung Duren,"Jl. Alpukat 3 No.52 1, RT.1/RW.2",4.9,51.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",ADTAS WARKOP,"Bekasi, West Java, Indonesia",5.0,92.0,1,1,1,1,1,0,1
