name,place_type,address,rating,rating_count,latitude,longitude,region
WARKOP 2 SAUDARA,Kafe,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","4,5",2,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
"Warkop Selamat Sejahtera, Kebon Kacang",Kedai Kopi,"Jl. Kebon Kacang 30 No.15, RT.5/RW.4","4,5",2,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Been Aouf,Kafe,"Jl. Kb. Kacang XL No.24, RT.10/RW.4","4,5",68,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop otoy,Kedai Kopi,Jl. Kebon Kacang 30 No.7,"5,0",3,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Barokah masjid jami'e darusalam,Kedai Kopi,"Masjid Darussalam, Jl. Kotabumi Ujung No.Depan 8, RT.8/RW.3","4,5",2,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Sehati,Kedai Kopi,"Jl. Kb. Kacang 6 No.70 14, RT.14/RW.5","5,0",1,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Tiku,Kedai Kopi,Thamrin City Lantai 3 No 28 Food court Jln Teluk Betung Boulevard,"4,7",56,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop kuningan,Kedai Kopi,"Jl. Kebon Sayur No.20, RT.14/RW.3","5,0",1,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
WARKOP MOTEKAR,Kedai Kopi,"Jl. Talang Betutu Ujung No.10 15, RT.13/RW.4","4,7",3,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Khabita 78,Kedai Kopi,"No., Jl. Tj. Duren Raya No.1, RT.3/RW.1","4,7",22,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Mamah GALANG & BAIM,Kedai Kopi,"Jl. Dukuh Pinggir V No.19 10, RT.10/RW.6","4,3",3,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Bang DuDung,Kafe,"RR6C+RM3, Jl. Kb. Kacang XI","4,5",8,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
WARKOP BABEH,Kedai Kopi,Jl. Sungai Gerong No.1-1A,"5,0",1,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Sugab,Kafe,"Jl. Kp. Bali X No.26 7, RT.8/RW.9","4,8",19,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Kabengbat,Kafe,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","4,0",2,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop AP KT NT AJ,Kedai Kopi,"samping Gedung Jamiat Kheir, Jl. Kb. Kacang 6","5,0",2,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop pancong Lontar ( Kebon Melati ),Kafe,"Jl. Lontar Raya No.107b 1, RT.1/RW.12","4,6",10,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Segitiga,Kafe,"Jl. K.H. Wahid Hasyim No.54A 7, RT.7/RW.5","3,3",8,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Slamet. Bw,Kafe,"QRX8+R2M, RT.1/RW.17","4,1",7,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop JAJA,Kafe,"Jl. Sabeni Raya No.20, RT.20/RW.12","4,5",2,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Romi gaharu,Kafe,"Jl. Kembang IV No.111 1, RT.1/RW.2","5,0",25,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop UPA,Kedai Kopi,"Jalan Jati Baru 10 RT. 01/RW.04 RT.1, RT.1/RW.4","5,0",14,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Akang,Kafe,"Jl. Kb. Pala II No.10 5, RT.5/RW.13","3,5",4,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Babang,Kafe,"Jl. Kp. Bali XIII No.1, RT.2/RW.9","4,9",7,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Aba Tanah Abang,Kedai Kopi,"Jl. K.H. Mas Mansyur Jl. Kb. Pala I No.286, RT.2/RW.16","5,0",13,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
WARKOP OREN TENLIS,Kedai Kopi,"Jl. Tenaga Listrik No.1, RT.7/RW.16","5,0",10,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
WARKOP HDHT 24 JAM,Kafe,"Jl. Kp. Bali XII No.37 4, RT.1/RW.9","5,0",6,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Ihsan Sabang,Kafe,"Jl. H. Agus Salim No.35, RT.1/RW.1","5,0",2,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Morena99,Kafe,"Patokan pos burung, Jl. Kb. Pala 3 No.013, RT.1/RW.15","5,0",5,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Sari,Kafe,"Jl. Kb. Pala 3 No.36A 3, RT.3/RW.13","4,0",4,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Kang Sidik,Kafe,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","4,7",76,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop jaja jabun,Kedai Kopi,"Warkop Jaja jabun, Alamat: jl. Jati bunder 7.RT 09 RW 14. kel. Kebon melati, RT.4/RW.14","4,0",4,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Mang Ade,Kafe,"QRV6+8PF, Jl. Karet Pasar Baru Barat II, RT.9/RW.5","4,3",6,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
WARKOP KUNTAS,Kafe,"Jl. Kebon Sirih Timur No.dalam no.5d, RT.14/RW.6","5,0",1,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop bunda salsa,Kedai Kopi,"Jl. Edi 9 No.11 5, RT.5/RW.6","4,7",3,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop(nasgor)tohir,Kafe,"Jl. Jati Bunder Dalam No.27 11, RT.11/RW.14","3,4",5,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Jambu,Kedai Kopi,"No. 12, Jl. Karet Karya 1, RT.4/RW.7","4,8",36,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Ilham,Kedai Kopi,"Jl. Menteng No.5, RT.5/RW.7","4,6",12,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Hegar,Kafe,"Jl. Taman Setia Budi II No.1, RT.1/RW.2","4,5",41,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Mamang Adi,Kedai Kopi,"Jl. Petamburan II No.17A, RT.11/RW.3","5,0",4,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop gang mess,Kafe,"Jl. Mess No.RT. 14, RT.13/RW.17","4,4",47,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
WARKOP PAK'DE,Kafe,"RR99+37W, Jl. Kebon Sirih, RT.2/RW.3","3,2",6,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
WARKOP BHEGHE,Kedai Kopi,"jln.admininstrasi I pejompongan rt. 08 rw. 07 kec, RT.1/RW.7","5,0",11,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Arimbi,Kafe,RT.3/RW.2,"5,0",12,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Marindo,Kedai Kopi,"Jalan Bendungan Hillir 3 No.9, RT.11/RW.1","4,4",143,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Asgar,Kedai Kopi,"Jl. Halimun Raya No.2 15 6, RT.15/RW.6","4,3",3,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Pasundan Setiabudi Tengah,Kedai Kopi,"Jl. Setiabudi Tengah No.14 Seberang Warung MJS / Le Green Kuningan Setiabudi, RT.1/RW.1","4,4",9,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
Warkop Ar Rahman,Kafe,"Jl. Setia Budi V No.15 5, RT.5/RW.3","5,0",5,-6.1921555,106.8117015,{'name': 'Kota Jakarta Pusat'}
WARKOP MAMA ADIT,Kafe,"Jl. Kedoya Raya No.58A 10, RT.2/RW.1","4,1",8,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop Imam,Kafe,"Jl. Panjang No.1, RT.1/RW.3",5,4,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop Kang Didi,Kafe," 9, RT.9/RW.13",5,2,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop Edo/edi,Kafe,"Jl. Taman Ratu Raya Blk. BB1 No.19 10, RT.3/RW.13","4,5",11,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop Pengkolan,Kedai Kopi,"Jl. Pengairan Pesing Koneng No.39 10, RT.10/RW.8",5,10,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop angkringan Bu rete pingkal,Kedai Kopi,"RQP8+QM5,Jakarta Barat, RT.3/RW.1",5,1,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop Cukil,Kafe,"Jl. Ratu Barat 1 No.10 9, RT.9/RW.13",5,3,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop bang otip,Kafe,"RQP8+WXM, RT.4/RW.1","4,9",30,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop betawi bg daus,Kedai Kopi,"Jl. Pesing Garden No.19, RT.4/RW.8",5,2,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop Mpo Yanti,Kafe,"RQG9+JVJ, Unnamed Road, RT.3/RW.4","4,4",8,-6.1674309,106.7637239,{'name': 'Kota Jakarta Barat'}
Warkop Jaya,Kafe,"RQV6+F3X, RT.13/RW.3","4,5",17,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Ali Green Garden,Kafe,"Jl. Adhi Karya No.30, RT.2/RW.5","4,9",22,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Sari Indah - Joss Chicken,Kedai Kopi,"Jl. Perjuangan No.12E 3, RT.13/RW.7","4,7",85,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Deni,Kedai Kopi,"Jl. Basmol Raya No.158, RT.8/RW.4","4,4",107,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Ropang Rai Raka,Kedai Kopi,"Jl. Indraloka Raya No.28, RT.5/RW.6","4,9",10,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Project,Kedai Kopi,"Jl. Kedoya Raya No.27 1, RT.1/RW.3","4,5",32,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Ujung Aspal,Kafe,"Jl. Surya Permata III No.79 12, RT.14/RW.1",5,11,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Ipeh,Kafe,"Jl. Pesing Garden No.90 1, RT.1/RW.8",5,10,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop pesing garden,Taman,"Ruko Green Garden, Komp, nomer, Jl. Panjang Arteri Klp. Dua Raya No.16, RT.14/RW.8","4,8",5,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop 1926,Kedai Kopi,"Jl. Panjang No.4, RT.13/RW.5",5,2,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop BU PONNY,Kafe,"Jl. Kali Sekretaris No.2, RT.2/RW.5",5,1,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Rasa Rindu,Kafe,"Jl. Kali Sekretaris No.20, RT.8/RW.5",5,1,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Naik Kelas,Kedai Kopi,"Jl. Komp. Graha Indah Green Ville Blok Bg No.20, RT.11/RW.14","4,6",45,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
warkop tampomas,Kafe,"Jl. Asem Raya No.3, RT.8/RW.8","4,6",16,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Kataji,Kedai Kopi,"Jalan Puri Kembangan Rt 06/03 #97, Kedoya Selatan, Kebon Jeruk, RT.8/RW.3","4,3",61,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop BABEH,Kedai Kopi,"Jl. Kp. Salo No.2, RT.2/RW.4",5,1,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Noni jln karya grogol,Kafe,"Jl. Karya Barat III No.9c 10, RT.10/RW.3",5,1,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
WARKOP KUNINGAN GANG MASJID AL UKHUWAH,Kafe,"Jl. Masjid Al Ukhuwah No.6 13, RT.13/RW.1","4,2",5,-6.1562699,106.7602297,{'name': 'Kota Jakarta Barat'}
Warkop Jaya,Kafe,"RQV6+F3X, RT.13/RW.3","4,5",17,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
Warkop Rasa Rindu,Kafe,"Jl. Kali Sekretaris No.20, RT.8/RW.5",5,1,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
Warkop Salo.,Kafe,"Kp Salo Rt 7/7, RT.2/RW.5",5,1,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
Warkop Rasa Sayang komp.depag,Kedai Kopi,"Jl. Komp. Departemen Agama No.18 4, RT.4/RW.3",5,10,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
Warkop bang udin,Kedai Kopi,"Jl. Mangga 19 No.2, RW.3",5,2,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
Warkop BASS,Kafe,"Jl. Duri Mas 1 Ujung No.rt8, RT.5/RW.10",5,2,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
WARKOP MPOK NUNG,Kafe,"Belakang Studio 5 Indosiar, Jl. Kali Sekretaris No. 1 RT. 007 RW. 05, Jl. Kali Sekretaris No.1, RT.8/RW.5",5,1,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
Warkop End try,Kedai Kopi,Jl. Mangga 16 No.3,5,1,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
WARUNG FARIDAH(warkop),Kedai Kopi,"RQR5+XV4, RT.3/RW.3",5,1,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
BC SEENKERS...WARKOP PAK GATOT,Kafe,"RQR8+QHM, Jakarta Barat, RT.3/RW.5",5,1,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
WARKOP ADVENTURE,Kafe,"Jl. Kp. Baru No.010 3, RT.10/RW.3",5,3,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
warkop Isal,Kedai Kopi,"RQF3+V86, RT.10/RW.6",5,1,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
Warkop 1980,Kafe,"Gg. H. Musanif No.24 1, RT.1/RW.8",5,4,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
WARKOP BOSS !,Kedai Kopi,"Jl. Tanggul Kp. Baru No.130, RT.3/RW.10",5,6,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
Warkop Noni jln karya grogol,Kafe,"Jl. Karya Barat III No.9c 10, RT.10/RW.3",5,1,-6.1748081,106.7562077,{'name': 'Kota Jakarta Barat'}
Warkop Putri Tunggal,Cafe,Dine-in·Takeout,5,1,-6.2243709,106.8997451,{'name': 'Kota Jakarta Timur'}
Warkop Mang Odon,Cafe,"Jl. Amal Raya No.32, RT.6/RW.1",4.8,20,-6.2243709,106.8997451,{'name': 'Kota Jakarta Timur'}
Warkop cipta rasa 234,Coffee shop,"Jl. Pahlawan Revolusi No.63, RT.1/RW.9",5,10,-6.2243709,106.8997451,{'name': 'Kota Jakarta Timur'}
Warkop sky (warkop Nungs),Coffee shop,"Jl. Masjid Abidin No.8, RT.3/RW.8",5,1,-6.2243709,106.8997451,{'name': 'Kota Jakarta Timur'}
