warkop_id,name,address,rating,rating_count,region,facilities
199,Warkop Lestari,"Jl. Tebet Dalam IV No.10-8, RT.16/RW.1",5,2,Selatan,"ac,toilet"
200,Warkop Komarudin,"RVXQ+6Q6, Jalan Raya Boulevard Barat Ruko INKOPAL Blok C Kelapa Gading Barat Jakarta, Utara, RT.2/RW.9",5,2,Utara,"24hours,wifi,toilet,parking"
201,WARKOP A BUANG,"Kokan Permata Klp. Gading, Wisata Kuliner Puspomal Kelapa Gading (depan Rukan, Jl. Boulevard Bukit Gading Raya, RT.15/RW.3",4,2,Utara,"wifi,toilet,parking,ac"
202,WARKOP SKSD,Jl. Inspeksi Kali Sunter,5,4,Utara,"wifi,toilet,parking,ac"
203,Warkop Bubur Barokah,"Jl. Inspeksi Kali Sunter No.9, RT.9/RW.4",5,1,Utara,"24hours,wifi,toilet,parking"
204,warkop kun gar,"Jl. Inspeksi Kali Sunter No.13 9, RT.9/RW.4",5,2,Utara,"wifi,toilet"
205,Warkop pulo,"RVWM+244, Jl. Pulo Besar 1, RT.005/011/RW.11",4.9,8,Utara,"24hours,wifi,toilet,parking,ac"
206,Warkop 99 Kuningan,"Jalan Taman Mandiri Indah, Blok M4D, #9, RT.13/RW.18",4.7,55,Utara,"wifi,toilet,parking,ac"
207,Warkop Pak Musa (Warpol),"Jl. Klp. Puan Raya No.13, RT.13/RW.13",5,1,Utara,"ac,toilet"
208,Warkop Sadulur,"Jl. Inspeksi Kali Sunter No.4 7, RT.10/RW.4",4.5,4,Utara,"wifi,toilet"
209,Warkop Paul,"Jl. Inspeksi Kali Sunter No.15 15, RT.15/RW.4",4.8,10,Utara,"wifi,toilet,parking,ac"
210,Warkop 24,"RVJW+7MM, Jl. Pelepah Raya, RW.5",4.2,27,Utara,"24hours,wifi,toilet,parking,ac"
211,Warkop Bekas Sekolah,Jl. Telaga Raya No.79,5,33,Utara,"ac,toilet"
212,Warkop Galunggung,"RVRG+68H, RT.1/RW.9",4.6,54,Utara,"ac,toilet"
213,Warkop lengkap,"Komp. Bukit Gading Indah, Jl. Raya Bukit Gading Villa, RT.4/RW.14",5,1,Utara,"24hours,wifi,toilet,parking"
214,Warkop Biru Co.,"Jl. Plumpang Semper No.16A, RT.1/RW.4",4.6,17,Utara,"wifi,toilet"
215,Warkop Askar 07 Salawasna Dina Hate,"Jl. Inspeksi Kp, Jl. Rw. Indah GG. Armada No.10, RT.3/RW.3",5,3,Utara,"wifi,toilet,parking,ac"
216,Warkop Walet,"Jl. Gaya Motor III No.4, RW.8",4.6,84,Utara,"wifi,toilet"
217,Lembaga Warkop DKI,"East Jakarta City, Jakarta, Indonesia",5,6,Utara,"24hours,wifi,toilet,parking"
218,Warkop Lembah Ciremay,"Central Jakarta City, Jakarta, Indonesia",4.6,120,Utara,"wifi,toilet,parking,ac"
219,Warkop ngalor ngidul,"Jakarta, Indonesia",5,1,Utara,"24hours,wifi,toilet,parking"
220,Warkop warmindo cirebon,"Jl. Pegangsaan Dua no 64, RW.3",4.5,8,Utara,"24hours,wifi,toilet,parking"
221,Warkop Tamjog,"we2 no 3a, Jl. Boulevard Raya, RT.13/RW.16",4.4,73,Utara,"24hours,wifi,toilet,parking,ac"
222,Warkop Kuning Manggar,Jl. Manggar No.8a,5,8,Utara,"wifi,toilet"
223,Warkop Mar-Le,"2, Jl. Pademangan V No.31, RT.2/RW.9",4.5,62,Utara,"wifi,toilet,parking,ac"
224,Warkop Nyai Lilis,"Central Jakarta City, Jakarta, Indonesia",5,7,Utara,"wifi,toilet"
225,Warkop Panca,"Central Jakarta City, Jakarta, Indonesia",4.6,65,Utara,"wifi,toilet,parking,ac"
226,Warkop Mang Wawan,"Central Jakarta City, Jakarta, Indonesia",5,3,Utara,"24hours,wifi,toilet,parking"
227,Warkop Bejo,"BLK. G7, No. 20, Ruko Danau Sunter Utara, JL. Danau Sunter Utara, Sunter Agung, 14350 Jakarta Utara, Indonesia, RT.14/RW.13",5,4,Utara,"24hours,wifi,toilet,parking"
228,Warkop Salah Satu,"Jl. Tipar Cakung No.3, RT.2/RW.4",5,21,Utara,"24hours,wifi,toilet,parking,ac"
229,Warkop AREVA / Warkop GONDRONG,"Blk. A, Jl. Alamanda Raya nomer 1",5,1,Utara,"wifi,toilet,parking,ac"
230,Warkop sumber barokah,"Central Jakarta City, Jakarta, Indonesia",4,1,Utara,"wifi,toilet"
231,Warkop Bu Boss,Jl. Walang Permai No.17 A,4.9,17,Utara,"wifi,toilet"
232,Warkop Santri,"VVHC+X9G, Jl. Bahari II, RT.4/RW.3",4.6,57,Utara,"24hours,wifi,toilet,parking"
233,Warkop Sola,"Jl. Warakas III Gg. 10 No.25a, 15 4, RT.15/RW.4",4.6,29,Utara,"wifi,toilet,parking,ac"
234,Warkop GMR,"East Jakarta City, Jakarta, Indonesia",5,2,Utara,"24hours,wifi,toilet,parking"
235,Warkop Oting,"Jl. Warakas V Jl. Warakas Gg. 8 No.124 12, RT.12/RW.10",4.5,67,Utara,"wifi,toilet,parking,ac"
236,WARKOP MINI JOHAR BARU,"Central Jakarta City, Jakarta, Indonesia",4.7,67,Utara,"24hours,wifi,toilet,parking"
237,WarKop Suhar 24Jam Danau Sunter,"VV4J+5P8, Jl. Danau Sunter Selatan, RT.11/RW.11",5,4,Utara,"wifi,toilet,parking,ac"
238,WARKOP...BARU,"Jl. Benteng Mas Raya Gg. Sky IX No.VII RT.16/RW.6, no 9",5,2,Utara,"toilet,parking"
239,Warkop Pak Ade,"Central Jakarta City, Jakarta, Indonesia",5,3,Utara,"wifi,toilet,parking,ac"
240,Warkop Starbak Pak Sarwan,RT.2/RW.9,5,16,Utara,"24hours,wifi,toilet,parking"
241,Warkop Deli 26,"VVQX+VM9, RT.4/RW.2",4.5,14,Utara,"toilet,parking"
242,Warkop Mardani,"Central Jakarta City, Jakarta, Indonesia",3.7,3,Utara,"toilet,parking"
243,Warkop Azka,"Jl. Dukuh No.35 1, RT.1/RW.8",4.3,3,Utara,"wifi,toilet,parking,ac"
244,Ndeso'o Warkop,"Central Jakarta City, Jakarta, Indonesia",5,13,Utara,"wifi,toilet,parking,ac"
245,Warkop Centeria,"Jl. Mindi No.35 3, RT.3/RW.7",4.8,35,Utara,"toilet,parking"
246,WARKOP HARAPAN BUNDA,"Jl. Swadaya No.20 1, RT.12/RW.5",5,1,Utara,"24hours,parking"
247,Warkop Cabang Swadaya 02,"Jl. Warakas Raya No.82 1, RT.8/RW.8",5,6,Utara,"toilet,parking,wifi"
248,WADUH - Warkop Seduh,"5, Jl. Komp. Yuka No.8, RT.4/RW.8",5,3,Utara,"24hours,wifi,toilet,parking"
249,Warkop Barokah Sunter,"Jl. Sunter Jaya II A, RT.6/RW.2",5,1,Utara,"wifi,toilet,parking,ac"
250,Warkop Mami Gue,"Central Jakarta City, Jakarta, Indonesia",5,1,Utara,"24hours,wifi,toilet,parking"
251,Bukan Warkop Biasa,Indonesia,4.9,11,Utara,"wifi,toilet,parking,ac"
252,Warkop 1 Jan_Cook,"Samping Hotel D'Arcici, Jl. Plumpang Semper Raya No.59 8, RT.8/RW.2",4.6,8,Utara,"toilet,parking"
253,WARKOP BETAWI,"West Jakarta City, Jakarta, Indonesia",4.6,53,Utara,"toilet,parking"
254,Warkop sahabat,"Jl. Warakas V Gg. 5 No.98, RT.12/RW.9",5,1,Utara,"ac,toilet"
255,Warkop Suka Suka Kopi,"Central Jakarta City, Jakarta, Indonesia",5,3,Utara,"ac,toilet"
