city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"South Jakarta city, Indonesia",WARKOP MINI JOHAR BARU,"Central Jakarta City, Jakarta, Индонезия","4,7",67.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop JAJA,"Central Jakarta City, Jakarta, Индонезия","4,5",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Saset,"South Jakarta City, Jakarta, Индонезия","5,0",13.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Nanas Gang T,"East Jakarta City, Jakarta, Индонезия","4,4",47.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP aa,"West Jakarta City, Jakarta, Индонезия","5,0",3.0,0,1,1,1,0,1,1
"South Jakarta city, Indonesia",WARKOP REVAN,"West Jakarta City, Jakarta, Индонезия","5,0",12.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Kang Sidik,Сейчас открыто,"4,7",77.0,1,1,0,1,1,1,1
"South Jakarta city, Indonesia",Warkop Teladan,"South Jakarta City, Jakarta, Индонезия","4,5",14.0,1,1,0,0,1,1,1
"South Jakarta city, Indonesia",WARKOP BERSAMA,"Central Jakarta City, Jakarta, Индонезия","3,0",3.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Warteg BABE 24 Always On,"Central Jakarta City, Jakarta, Индонезия","5,0",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop PJS,"West Jakarta City, Jakarta, Индонезия","4,1",8.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop zee,"Central Jakarta City, Jakarta, Индонезия","4,4",24.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Pak Endang,"South Jakarta City, Jakarta, Индонезия","4,8",5.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Girl Boss,"Jakarta, Индонезия","3,8",10.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP BABEH,"Central Jakarta City, Jakarta, Индонезия","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP BAROKAH,"Central Jakarta City, Jakarta, Индонезия","5,0",1.0,1,0,1,0,1,1,1
"South Jakarta city, Indonesia",Warkop Ilham,"Central Jakarta City, Jakarta, Индонезия","4,9",14.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Azis,"Central Jakarta City, Jakarta, Индонезия","4,5",34.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Berkah Jume,"South Jakarta City, Jakarta, Индонезия","4,6",94.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Junko,"South Jakarta City, Jakarta, Индонезия","4,1",28.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",waRkop aja!,"South Jakarta City, Jakarta, Индонезия","5,0",11.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop kJ,"Central Jakarta City, Jakarta, Индонезия","4,4",7.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop TAKASIMURA,"East Jakarta City, Jakarta, Индонезия","4,9",10.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Jambu,"South Jakarta City, Jakarta, Индонезия","4,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Aa Belakang SD,"South Jakarta City, Jakarta, Индонезия","5,0",2.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia","Warka ""Warkop Jenaka""","Central Jakarta City, Jakarta, Индонезия","5,0",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Orange Cafe,"Jalan Gang Keluarga Nomer 39D Rt O06 Rw 012 Palmerah Pulo, RT.4","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Purwanty,"RW:02, Jl. Kota Bambu Raya","5,0",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Djaja Abadi,"South Jakarta City, Jakarta, Индонезия","4,6",100.0,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",Warkop Tanah Abang 54,"Central Jakarta City, Jakarta, Индонезия","5,0",1.0,1,1,0,1,1,1,0
"South Jakarta city, Indonesia",Warkop Emak,"West Jakarta City, Jakarta, Индонезия","5,0",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP GUNTUR POJOKAN,Jl. Kawi,"5,0",6.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia","Warkop Pande, Kemayoran","Central Jakarta City, Jakarta, Индонезия","5,0",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop AWI,"Central Jakarta City, Jakarta, Индонезия","5,0",9.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Mikita,"Jl. E No.1, RT.1/RW.3","4,9",31.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP SHAINA,Jl. Payakumbuh No.88,"5,0",1.0,1,1,1,1,0,0,1
"South Jakarta city, Indonesia",Warkop Pancong Lumer,"Central Jakarta City, Jakarta, Индонезия","3,7",31.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop ZYAN,"Central Jakarta City, Jakarta, Индонезия","5,0",1.0,0,1,0,1,1,1,1
"South Jakarta city, Indonesia",Warkop Piay,"palsigunung, West Java, Индонезия","4,7",7.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop 212,"South Jakarta City, Jakarta, Индонезия","5,0",5.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Suka Suka,"South Jakarta City, Jakarta, Индонезия","3,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Emon,"Tangerang City, Banten, Индонезия","3,8",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Tampomas Jaya,"South Jakarta City, Jakarta, Индонезия","5,0",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Hegar,"West Jakarta City, Jakarta, Индонезия","4,8",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia","Warkop Joly, guru Mughni","South Jakarta City, Jakarta, Индонезия","5,0",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Lapau Jati Lima,"South Jakarta City, Jakarta, Индонезия","5,0",3.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop 36 Sentiong,"Central Jakarta City, Индонезия","5,0",3.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop 24 Jam Senen,"Central Jakarta City, Jakarta, Индонезия","5,0",12.0,1,0,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Baik Hati,"Jakarta, Индонезия","5,0",9.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop DBS,"South Jakarta City, Jakarta, Индонезия","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Raffael,"Central Jakarta City, Jakarta, Индонезия","4,8",9.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP 1980 KEMUNING,"East Jakarta City, Jakarta, Индонезия","5,0",4.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Mandala,"West Jakarta City, Jakarta, Индонезия","5,0",1.0,1,0,0,1,0,1,1
"South Jakarta city, Indonesia",CAFE WARKOP WIFI CORNER,"West Jakarta City, Jakarta, Индонезия","3,6",12.0,1,1,1,1,1,1,1
