city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"East Jakarta city, Indonesia",Warkop Bang Dut,"QWC8+6RW, RT.9/RW.1","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Mandra,"Jl. Pertanian Sel. No.23, RT.11/RW.4","4,3",7,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Ono Roso,"Jalan kampung jembatan, RT.9/RW.6","3,7",7,1,0,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop AA Fauzan,Jl. Cipinang Baru Raya,"5,0",1,0,0,1,1,1,0,1
"East Jakarta city, Indonesia",WARKOP 21,"Jl. Otista 3 No.2, RT.2/RW.1","4,8",9,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Kuy - WarKuy,Jl. H. Nasir No.13,"5,0",4,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",warkop dalem gang,Jl. Cipinang Jagal No.9b,"5,0",3,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Lebih Prefer Warkop,"4, Jl. Raya Jatiwaringin No.7","4,9",21,1,1,1,1,1,0,1
"East Jakarta city, Indonesia",Warkop AA Fauzan,"Jakarta, Indonezia","5,0",1,1,1,1,0,1,1,1
"East Jakarta city, Indonesia",Warkop WB,"Jl. Pemuda III A No.5 11, RT.11/RW.1","4,8",8,1,1,1,1,1,0,1
"East Jakarta city, Indonesia",Warkop Ade,"Jl. Bekasi Timur Raya Blok J No.10, RT.1/RW.8","5,0",4,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Pancong Becky,"Jl. Kp. Jemb. No.24B, RT.8/RW.14","5,0",6,1,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop keanand,"Jl. Arus Jati No.1, RT.9/RW.5","3,5",2,1,1,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop RB,"Jl. Bina Marga 1 Blok BB2 No.12, RT.5/RW.1","4,8",5,1,1,0,1,0,1,1
"East Jakarta city, Indonesia",Warkop Poyo,Jl. Bekasi Timur IV No.3b,"5,0",11,1,1,1,0,1,1,1
"East Jakarta city, Indonesia",warkop pe-x,"Jl. Rawamangun Muka Timur No.70, RT.6/RW.12","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop S.J.O,"Jl. Taruna No.118 2, RT.2/RW.4","5,0",1,1,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop solusi,"Apartemen Basura City tower, G (GF AL 11","5,0",1,1,1,1,1,0,1,0
"East Jakarta city, Indonesia",Warkop Seleramu,Jl. Delima I,"5,0",2,1,0,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop Piay,"palsigunung, West Java, Indonezia","4,7",7,1,1,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop MJD,"Jl. Malaka Raya No.9, RT.12/RW.6","4,9",11,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Classic Bang Dede,"Jl. Saluran Kali Malang Blok C No.04, RT.2/RW.13","4,8",6,1,1,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop Ngerebah X Satethiacan23,Jl. Raya Jatiwaringin,"5,0",6,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Mang Fa'at,"QVG9+5FX, RT.2/RW.2","4,0",1,1,1,1,0,1,1,1
"East Jakarta city, Indonesia",Warkop Kang Yadi,"Jl. Media Massa No.44 12, RT.12/RW.1","4,8",4,1,0,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop PM,"QVCH+6HJ, Jl. Masjid Baitul Latif, RT.1/RW.6","5,0",5,0,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Lorong & Tembakau,"DKI Jakarta, Jakarta, Indonezia","4,9",16,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Ini Baru Warkop,"indonesia, Jakarta, Indonezia","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop GEIA,Jl. Bangunan Barat,"4,8",12,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop BambooBoys,Indonezia,"5,0",3,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",WARKOP DODO,"Jl. Permata No.4, RT.4/RW.5","4,5",2,1,1,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop Askun,"MVF5+7PJ, Jl. Pd. Baru Raya, RT.3/RW.11","5,0",2,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Shohib,"South Jakarta City, Jakarta, Indonezia","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Tepian,Jl. Cipinang Pulo,"5,0",4,1,1,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop Luvly,"Jl. Cipinang Bali III No.3 7, RT.7/RW.13","5,0",3,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop Raffael,"Central Jakarta City, Jakarta, Indonezia","4,8",9,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",WARKOP JESSICA,"Jl. Raya Bekasi No.38, RT.2/RW.2","5,0",2,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Teras Rumah by Oma Iis,"Jl. Klp. Kuning Raya Blok AL 1 No.1 006, RT.6/RW.7","5,0",2,1,0,1,0,1,1,1
"East Jakarta city, Indonesia",Warkop roejali dan joeleha,"Jl. Kerohanian No.7 Blok D, RT.10/RW.6","5,0",1,0,1,1,1,0,1,1
"East Jakarta city, Indonesia",WARKOP KOEPINANG,RT.1/RW.1,"5,0",2,0,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop TL,"15, Jl. Pulo Asem Utara Raya No.75, RT.15/RW.2","4,7",9,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",WARKOP BLECK,Jl. Pisangan Baru Timur No.15,"4,5",8,0,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop Bona Gabe,"Jl. Jatinegara Timur No.99, RT.1/RW.2","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Rest Area,"1, Jl. Kebon Nanas Selatan II No.3B, RT.1/RW.5","5,0",2,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Arkha,"Bekasi, West Java, Indonezia","4,8",6,1,1,1,0,1,1,1
"East Jakarta city, Indonesia",Warkop Cendrawasih,"Bekasi, West Java, Indonezia","4,4",26,1,1,1,1,1,0,0
"East Jakarta city, Indonesia",WARKOP PINGKAL,"4, Jl. Malaka Raya No.99, RT.1/RW.6","4,8",19,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",BANGS WARKOP,"QWVF+H5V, Jl. Dr. KRT Radjiman Widyodiningrat, RT.6/RW.6","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Shinta,"Jl. Raya Jakarta-Bogor No.41-47 1, RT.1/RW.8","4,5",14,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",WARKOP 316 UCUP,"Jl. H. Dasuki No.37, RW.16","5,0",5,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Ayu Neti,"Jl. Matraman Raya No.28, RT.8/RW.6","4,6",5,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Bansus,"Jl. Jagur II No.24, RT.3/RW.10","4,4",11,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",WARKOP WARU,"South Jakarta City, Jakarta, Indonezia","4,5",22,0,1,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop-in Ajah Pekayon,"West Java, Indonezia","5,0",22,0,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Bu Nanik,"Jakarta, Indonezia","5,0",1,1,1,1,0,1,1,1
"East Jakarta city, Indonesia",WARKOP PANCONG CERIA,"Jl. S. Kalimalang Tarum Barat No.12, RT.1/RW.7","4,7",84,1,0,1,1,1,1,1
"East Jakarta city, Indonesia","Warkop Lesehan R3 - Ayam Geprek, Seblak Prasmanan, Kopi, Indomie dan lain lain","Jln. Raya Bekasi Timur No. 150A, Cipinang Jatinegara, RT.8/RW.13","5,0",2,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Kue Pancong Ceria,"Bekasi, West Java, Indonezia","4,2",6,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Medan di Jakarta,Indonezia,"3,9","1,1 K",1,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Berkah,"Jakarta Timur RT.1/RW.11, Jl. H. Mahbub, RT.11/RW.1","1,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Bako Flo's,"Jl. Kamper No.24, RT.12/RW.6","5,0",62,1,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Betawi,"Jl. T No.5 5, RT.5/RW.11","3,0",1,1,0,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop Freaks,"Jl. Kopi Sel. IV No.24-25, RT.2/RW.3","4,7",13,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop Musik,"Bogor Regency, West Java, Indonezia","4,6",33,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Steam Cuci Motor Mandi Wajib dan Warkop Receh,"QWFP+9JX, Jl. H. Miran, RT.1/RW.8","4,6",16,0,1,1,0,1,1,1
